CONDITION,COUNT
Drug hypersensitivity,9681
Muscular weakness,2497
Rash,10745
Urticaria,3885
Adverse event,2100
Antinuclear antibody positive,63
Autoantibody positive,6
Autoimmune disorder,163
Double stranded DNA antibody positive,5
Infection,3659
Neoplasm malignant,1087
Opportunistic infection,38
Abdominal pain lower,498
Anaemia,4261
Asthenia,8367
Fatigue,17972
Medication error,562
Poor quality sleep,500
Splenomegaly,323
Aneurysm,110
Dry skin,6886
Glossodynia,261
Nephrolithiasis,1271
Skin wrinkling,79
Urinary tract infection,4123
Anxiety,6709
Blood pressure increased,3801
Metastases to liver,444
Metastases to pancreas,11
Nervousness,1015
Nodule,335
Ovarian disorder,17
Palmar erythema,35
Post procedural discharge,25
Post procedural swelling,36
Pyogenic granuloma,12
Scar,437
Stress,1718
Thrombophlebitis,71
Coma,1035
Gastrooesophageal reflux disease,1845
Pneumonia aspiration,585
Somnolence,4679
Atrial septal defect,151
Congenital hydronephrosis,15
Congenital ureteric anomaly,1
Maternal exposure during pregnancy,1811
Death,15413
Low density lipoprotein increased,183
Malaise,12452
Muscle spasms,3974
Myalgia,3707
Pain in extremity,6881
Colitis,947
Catheter site discolouration,7
Catheter site pain,94
Catheter site swelling,35
Chest pain,3681
Device malfunction,1206
Epistaxis,2073
Haemoglobin decreased,2339
Headache,14126
Hypotension,4205
Injection site pain,4308
Jaundice,576
Pallor,511
Tooth abscess,298
Toothache,411
Yellow skin,117
Anaphylactic shock,538
Drug intolerance,3040
Dyspnoea exertional,1231
Erythema,8166
Eyelid oedema,144
Hypoaesthesia,3521
Nausea,16929
Oropharyngeal pain,2370
Paraesthesia,3440
Pruritus,8447
Therapeutic product effect incomplete,3764
Abscess,362
Fungal infection,835
Furuncle,195
Hypertension,4427
Oedema peripheral,2087
Purulence,49
Skin lesion,712
Skin warm,206
Arthralgia,9088
Beta 2 microglobulin urine increased,9
Beta-N-acetyl-D-glucosaminidase increased,1
Blood creatinine increased,1498
Blood phosphorus decreased,82
Bone pain,1373
Fanconi syndrome acquired,31
Gait disturbance,4541
Glycosuria,36
Hepatitis B DNA increased,16
Hyperphosphatasaemia,6
Hypophosphataemia,122
Metabolic acidosis,587
Multiple fractures,133
Off label use,16103
Osteomalacia,32
Pathological fracture,104
Proteinuria,669
Renal glycosuria,2
Renal impairment,2798
Renal tubular dysfunction,22
Urine calcium increased,10
Urine phosphorus increased,6
Exostosis,168
Foot fracture,430
Rash papular,1071
Asthma,2754
Back pain,5073
Blood glucose increased,3482
Blood iron decreased,350
Bronchitis,2363
Chest discomfort,2240
Condition aggravated,7611
Cough,6993
Device allergy,5
Dysphonia,1350
Dyspnoea,13071
Fall,7478
Feeling abnormal,5638
Forced expiratory volume decreased,224
Forced vital capacity decreased,41
Gastroenteritis viral,558
Hyperglycaemia,839
Infection susceptibility increased,76
Joint swelling,3002
Limb injury,695
Lower respiratory tract infection,1550
Middle insomnia,459
Nasal mucosal disorder,10
Obesity,284
Obstructive airways disorder,394
Oxygen saturation decreased,1383
Pain,13093
Palpitations,2547
Respiratory distress,559
Respiratory rate decreased,64
Sciatica,364
Secretion discharge,344
Sinusitis,2689
Swelling face,1548
Viral upper respiratory tract infection,110
Vomiting,9813
Wheezing,1470
Abscess limb,141
Bone disorder,300
Intentional product use issue,2149
Neuropathy peripheral,1941
Osteomyelitis,415
Product dispensing error,862
Blood pressure systolic increased,670
Body temperature decreased,440
Cataract,1303
Influenza,3945
Lung infection,1165
Nasopharyngitis,5626
Neurogenic shock,15
Peripheral nerve infection,2
Productive cough,1517
Renal pain,244
Respiratory rate increased,224
Respiratory tract congestion,374
Sputum discoloured,408
Tooth disorder,483
Weight decreased,6363
Abdominal discomfort,3942
Diarrhoea,15077
Overdose,4214
Poor quality device used,365
Product dose omission,11263
Product quality issue,2345
Product taste abnormal,302
Hyperaesthesia,158
Toxicity to various agents,3364
Abdominal pain upper,4547
Blood pressure decreased,1638
Blood pressure diastolic decreased,182
Dizziness,10418
Gastrointestinal disorder,1782
Malignant neoplasm progression,2706
Oral pain,481
Pneumonia,8254
Pneumonia bacterial,184
Pneumonia viral,96
Pneumonitis,728
Skin discolouration,1359
Arthritis,1822
Blood cholesterol increased,832
Blood growth hormone increased,26
Cerebrospinal fluid leakage,48
Dizziness postural,219
Eye swelling,840
Hordeolum,92
Infected dermal cyst,9
Injection site reaction,1334
Insulin-like growth factor decreased,31
Musculoskeletal discomfort,408
Pituitary tumour,36
Pyrexia,7539
Renal failure,7884
Rheumatoid arthritis,3366
Skin disorder,746
Swelling,2270
Mania,234
Violence-related symptom,16
Emotional distress,2717
Low turnover osteopathy,33
Stress fracture,120
Abdominal pain,4815
Cold sweat,341
Drug interaction,3503
Gastrointestinal ischaemia,7
Multi-organ disorder,25
Shock haemorrhagic,189
Splenic rupture,34
Balance disorder,1856
Cognitive disorder,1089
Depressed mood,1240
Depression,4575
Diabetes mellitus,1538
Eyelid ptosis,144
General physical health deterioration,1933
Ligament sprain,308
Limb discomfort,912
Memory impairment,3340
Mood swings,505
Multiple sclerosis relapse,1786
Muscle atrophy,235
Onychomadesis,83
Peripheral swelling,4723
Peroneal nerve palsy,99
Restlessness,748
Speech disorder,1161
Unevaluable event,1432
Walking aid user,112
Wound,529
Lung disorder,1205
Reading disorder,57
Inappropriate schedule of product administration,6464
Nasal congestion,1468
Rhinorrhoea,1706
Terminal state,99
Arterial thrombosis,24
Hyponatraemia,1188
Infusion related reaction,1133
Leukopenia,1325
Lymphopenia,352
Neutropenia,3005
Oedema,1147
Respiratory failure,1563
Sepsis,2460
Thrombocytopenia,2401
Thrombosis,1590
Tumour lysis syndrome,177
Upper respiratory tract infection,1298
Blindness,898
Chills,2274
Gastric antral vascular ectasia,7
Gastrointestinal infection,245
Glaucoma,489
Haematochezia,1158
Internal haemorrhage,826
Cerebrovascular accident,2719
Seizure,3385
Foetal exposure during pregnancy,1657
Hypoacusis,1243
Ototoxicity,48
Blood triglycerides increased,264
Acne,5540
Alopecia,7883
Drug ineffective,32236
Incorrect route of product administration,636
Liver function test abnormal,382
Loss of personal independence in daily activities,1548
Ovarian cyst,184
Product use issue,4680
"Sleep disorder due to general medical condition, insomnia type",68
Transplant dysfunction,49
Transplant rejection,151
Arrhythmia,1040
Atrial fibrillation,2151
Bacterial test positive,54
Benign breast neoplasm,12
Breast mass,148
Burning sensation,1795
Cardiac disorder,1581
Decreased appetite,5321
Ecchymosis,150
Eye discharge,199
Eye disorder,781
Frequent bowel movements,568
Gastrointestinal bacterial infection,21
Heart rate increased,2152
Inflammation,1394
Irritable bowel syndrome,356
Loss of consciousness,2755
Neck pain,1283
Respiratory tract infection,807
Superficial injury of eye,24
Urine output increased,46
Vaginal haemorrhage,1044
Vertigo,1459
Vision blurred,2602
Visual impairment,2940
Weight increased,5464
Arthropathy,1396
Amaurosis fugax,7
Cardiac valve disease,104
Device issue,2256
Haematoma,602
Hospitalisation,3544
Sleep apnoea syndrome,582
Cellulitis,1220
Erythema nodosum,62
Folliculitis,106
Herpes zoster,1502
Sensitivity to weather change,281
Blister,1218
Blood pressure diastolic abnormal,40
Blood pressure diastolic increased,105
Blood pressure fluctuation,857
Breast pain,219
Dehydration,2666
Feeling hot,1177
Gastroenteritis,393
Haemorrhage,4337
Heart rate decreased,885
Hyperhidrosis,2447
Hypersomnia,646
Mobility decreased,1720
Musculoskeletal pain,1801
Musculoskeletal stiffness,2112
Osteoarthritis,1013
Acute kidney injury,11597
Adenocarcinoma pancreas,32
Aortic arteriosclerosis,31
Atelectasis,191
Barrett's oesophagus,65
Biliary sphincterotomy,1
Biopsy kidney,22
Biopsy thyroid gland,1
Bladder neoplasm surgery,6
Bladder transitional cell carcinoma stage I,1
Cholecystectomy,166
Diverticulum intestinal,107
Dyspepsia,2098
Dysphagia,1975
Electrocardiogram T wave inversion,48
Gastric disorder,1184
Haemolytic uraemic syndrome,34
Helicobacter gastritis,45
Hiatus hernia,295
Hypomagnesaemia,293
Inguinal hernia,134
Kidney infection,674
Liver disorder,994
Lung hyperinflation,31
Lymphadenopathy,740
Pancreaticoduodenectomy,12
Pancreatitis chronic,52
Pleural calcification,2
Prostatectomy,5
Prostatomegaly,89
Pulmonary fibrosis,410
QRS axis abnormal,9
Spinal osteoarthritis,181
Stent placement,164
Thyroid cyst,17
Thyroid mass,110
Transurethral bladder resection,2
Transurethral prostatectomy,13
Umbilical hernia,108
Varices oesophageal,65
Abdominal adhesions,78
Abnormal loss of weight,164
Appendicectomy,73
Atrophy,49
Bile duct stent insertion,5
Blood albumin decreased,146
Blood alkaline phosphatase increased,488
Cardiac murmur,148
Cholelithiasis,572
Chronic obstructive pulmonary disease,1329
Deafness,633
Fat necrosis,5
Gastric ulcer,410
Gingivitis,127
Helicobacter infection,120
Hepatic cancer,155
Hypercholesterolaemia,142
Hyperlipidaemia,145
Increased tendency to bruise,195
Malnutrition,205
Mental status changes,512
Metastases to lymph nodes,145
Nocturia,278
Pancreatic cyst,40
Postoperative wound complication,47
Rhonchi,43
Spinal compression fracture,245
Pulmonary embolism,1644
Abdominal distension,2128
Ankylosing spondylitis,260
Blood test abnormal,334
Constipation,4719
Fibromyalgia,565
Herpes virus infection,139
Needle issue,593
Product use in unapproved indication,8376
Skin sensitisation,35
Tachycardia,1799
Haemorrhage intracranial,401
Adrenal mass,16
Aortic valve incompetence,52
Cardiomegaly,211
Cholecystitis,252
Diabetes mellitus inadequate control,434
Diverticulum,146
Duodenal polyp,6
Escherichia bacteraemia,40
Facet joint syndrome,28
Gallbladder disorder,329
Gastric cancer,150
Gastric polyps,44
Laparoscopy,2
Lymphadenectomy,23
Metastases to adrenals,26
Pancreatectomy,9
Pancreatic carcinoma metastatic,67
Pulmonary mass,390
Skin cancer,407
Splenectomy,19
Urosepsis,197
Hair follicle tumour benign,9
Complications of bone marrow transplant,3
Hepatosplenic T-cell lymphoma,10
T-cell lymphoma,30
Osteonecrosis of jaw,469
Intentional product misuse,2491
Hunger,204
Increased upper airway secretion,65
Injection site discolouration,196
Injection site haematoma,55
Intervertebral disc compression,20
Intervertebral disc degeneration,162
Overweight,150
Spinal pain,363
Weight loss poor,61
Chronic lymphocytic leukaemia,112
Rhabdomyolysis,781
Blood pressure inadequately controlled,139
Insomnia,5529
Glossopharyngeal nerve paralysis,2
Herpes ophthalmic,37
Vagus nerve paralysis,2
Gamma-glutamyltransferase increased,511
High density lipoprotein increased,30
Hypokalaemia,1047
Lymphocyte count decreased,732
Neutrophil count increased,267
Supraventricular extrasystoles,62
Ventricular extrasystoles,180
Sleep disorder,1498
Cerebral haemorrhage,993
Hemiparesis,429
Hemiplegia,220
Dysgraphia,147
Dysstasia,623
Ear disorder,107
Generalised oedema,223
Muscle tightness,340
Neuralgia,647
Prescribed overdose,621
Sedation,546
Eructation,270
Incorrect dose administered,3673
Intestinal perforation,211
Intestinal polyp,37
Abdominal rigidity,57
Intestinal obstruction,928
Mucous stools,102
Musculoskeletal chest pain,379
Abortion spontaneous,792
Anal incontinence,254
Clavicle fracture,67
Road traffic accident,769
Suicidal ideation,1740
Urinary incontinence,559
Child abuse,1
Drug abuse,1739
Drug dependence,1297
Homicide,12
Atypical femur fracture,59
Bone marrow oedema,27
Bone swelling,25
Hepatosplenomegaly,52
Myelofibrosis,109
Platelet count decreased,2334
Platelet count increased,372
Congenital monorchidism,1
Developmental hip dysplasia,32
Polydactyly,32
Dust allergy,42
Hypersensitivity,5082
Hypoventilation,80
Perfume sensitivity,37
Smoke sensitivity,26
Abdominal wall haematoma,58
Alcohol abuse,73
Alcoholic hangover,3
Duodenal ulcer,141
Faeces discoloured,446
Haemoglobin increased,97
Blood pressure systolic abnormal,54
Gastric infection,104
Hernia,500
Nerve injury,293
Nervous system disorder,432
Pharyngitis streptococcal,265
Volvulus,74
Renal artery thrombosis,11
Disease progression,1700
Xerosis,25
Anaphylactic reaction,1312
Disorientation,712
Flushing,1921
Seasonal allergy,527
Weight fluctuation,301
Bilirubin conjugated increased,70
Blood bilirubin increased,544
Blood bilirubin unconjugated,1
Hepatic enzyme increased,1391
Ocular icterus,76
Amnesia,1281
Angioedema,844
Depressed level of consciousness,756
Disturbance in attention,974
Fluid retention,1369
Photosensitivity reaction,405
Psychotic disorder,561
Cleft lip and palate,36
Agitation,1289
Animal scratch,23
Intervertebral disc protrusion,527
Rib fracture,477
Tendon calcification,3
Attention deficit/hyperactivity disorder,85
Bone development abnormal,6
Enuresis,80
Growing pains,5
Growth retardation,56
Tympanic membrane scarring,1
Vitamin D deficiency,175
Weight gain poor,44
Hodgkin's disease,86
Pneumococcal sepsis,15
Discomfort,1208
Muscle disorder,174
Withdrawal syndrome,1192
Bacteraemia,233
Chronic kidney disease,17476
Cytomegalovirus colitis,49
Decubitus ulcer,170
Gastrointestinal bacterial overgrowth,30
Iritis,64
Large intestinal ulcer,77
Renal cyst,288
Septic embolus,25
Sprue-like enteropathy,279
Blood pressure abnormal,475
Patella fracture,49
Upper limb fracture,487
Angina pectoris,537
Atrioventricular block first degree,89
Concomitant disease progression,41
Post procedural haematoma,27
Diplopia,527
Eye pain,959
Intraocular pressure increased,277
Ocular vascular disorder,14
White blood cell count decreased,2637
Hypovolaemic shock,96
Confusional state,3538
Cystitis,833
Muscle twitching,464
Spinal stenosis,232
Wrist fracture,220
Femur fracture,497
Electrocardiogram QT prolonged,853
Blood glucose decreased,823
Endometriosis,82
Presyncope,550
Vocal cord dysfunction,31
Febrile neutropenia,1377
